name,registry_id,hq,extra
LUCKY 2 LENDING INC.,,Philippines,List of Revoked Certificates of Registration (Primary License)
MAJESTIC LENDING CORP.,,Philippines,List of Revoked Certificates of Registration (Primary License)
MAP MENTORS LENDING SHOP INC.,,Philippines,List of Revoked Certificates of Registration (Primary License)
MARVEL LENDING CORP.,,Philippines,List of Revoked Certificates of Registration (Primary License)
MB LENDING INVESTORS INC.,,Philippines,List of Revoked Certificates of Registration (Primary License)
METRO ROXAS LENDING INVESTOR CORP.,,Philippines,List of Revoked Certificates of Registration (Primary License)
MICRODYAMO LENDERS CORP.,,Philippines,List of Revoked Certificates of Registration (Primary License)
MODERN LENDING CORP.,,Philippines,List of Revoked Certificates of Registration (Primary License)
MOUNT ZION LENDING CORP.,,Philippines,List of Revoked Certificates of Registration (Primary License)
"MTL LENDING INVESTORS, INC.",,Philippines,List of Revoked Certificates of Registration (Primary License)
NABUNTURAN LENDING INVESTORS INC.,,Philippines,List of Revoked Certificates of Registration (Primary License)
NEW STAR LENDING INVESTORS INC.,,Philippines,List of Revoked Certificates of Registration (Primary License)
OPTIMUM CREDIT FUNDERS INC.,,Philippines,List of Revoked Certificates of Registration (Primary License)
OPTIMUM LENDING CORP.,,Philippines,List of Revoked Certificates of Registration (Primary License)
PACITA COMPLEX KAPITBAHAYAN LENDING CORP.,,Philippines,List of Revoked Certificates of Registration (Primary License)
PANSIPIT LENDING & CREDIT CORP.,,Philippines,List of Revoked Certificates of Registration (Primary License)
PATRICIA LENDING INVESTORS INC.,,Philippines,List of Revoked Certificates of Registration (Primary License)
PHILBERT LENDING INVESTORS CORP.,,Philippines,List of Revoked Certificates of Registration (Primary License)
PROFESSIONAL LENDERS INC.,,Philippines,List of Revoked Certificates of Registration (Primary License)
PSY LENDING INVESTORS INC.,,Philippines,List of Revoked Certificates of Registration (Primary License)
RDD LENDING CORP.,,Philippines,List of Revoked Certificates of Registration (Primary License)
RED DRAGON LENDING CORP.,,Philippines,List of Revoked Certificates of Registration (Primary License)
REGION LENDING & CREDIT CORP.,,Philippines,List of Revoked Certificates of Registration (Primary License)
REYES & VILLANUEVA LENDING INC.,,Philippines,List of Revoked Certificates of Registration (Primary License)
SA LENDING INVESTORS INC.,,Philippines,List of Revoked Certificates of Registration (Primary License)
SME CRYSTAL LENDING INVESTOR CORP.,,Philippines,List of Revoked Certificates of Registration (Primary License)
SOLID THREE LENDING INVESTOR CORP.,,Philippines,List of Revoked Certificates of Registration (Primary License)
SUN LIFE LENDING & CREDIT CORP.,,Philippines,List of Revoked Certificates of Registration (Primary License)
SUNCASH LENDING INVESTORS CORP.,,Philippines,List of Revoked Certificates of Registration (Primary License)
SURVEL LENDING CORP.,,Philippines,List of Revoked Certificates of Registration (Primary License)
T.G. LENDING CORP.,,Philippines,List of Revoked Certificates of Registration (Primary License)
TRUSTWORTH LENDING CORP.,,Philippines,List of Revoked Certificates of Registration (Primary License)
UMINGAN LENDING INVESTOR INC.,,Philippines,List of Revoked Certificates of Registration (Primary License)
UNI CREDIT LENDING CORP.,,Philippines,List of Revoked Certificates of Registration (Primary License)
UNLIMITED LENDING PHIL. CORP.,,Philippines,List of Revoked Certificates of Registration (Primary License)
ZAMBO. SOLID LINE LENDING CORP.,,Philippines,List of Revoked Certificates of Registration (Primary License)
5 SPEED CORP.,,Philippines,List of Revoked Certificates of Registration (Primary License)
AGENCIA EXQUISITE OF OZAMIZ INC.,,Philippines,List of Revoked Certificates of Registration (Primary License)
AGRL. SVCS. CREDIT INC.,,Philippines,List of Revoked Certificates of Registration (Primary License)
ALPHA CONSOLIDATED RESOURCES INC.,,Philippines,List of Revoked Certificates of Registration (Primary License)
AMETHYST CREDIT CORP.,,Philippines,List of Revoked Certificates of Registration (Primary License)
ANCHOR LENDING INVESTORS CORP.,,Philippines,List of Revoked Certificates of Registration (Primary License)
ANPEL DEV. CORP.,,Philippines,List of Revoked Certificates of Registration (Primary License)
ANTIPOLO CREDIT CORP.,,Philippines,List of Revoked Certificates of Registration (Primary License)
